EmailAddress,SubscriberKey,FirstName,BasketID
orci.lacus@feugiatSed.edu,8AA93E44-4737-B9C5-B426-09047AF3D702,Lana,1
interdum@consequatlectus.com,24C1E503-7E57-1D0C-931E-E699701030C3,Hoyt,2
lobortis.nisi.nibh@famesacturpis.co.uk,2BFA913B-7ADA-FD29-873A-4DB69E73330B,Solomon,3
laoreet.lectus.quis@ametrisus.edu,3F1091A9-186F-E83E-7937-D0834655B31B,Benjamin,4
consectetuer.cursus.et@quismassa.net,5ABCD1D2-A9CB-261F-B0C7-AFD5E368CC70,Amelia,5
diam.Pellentesque@Etiam.co.uk,307FDB4A-1E2B-3FBE-292A-F8F9A9616561,Maxwell,6
gravida.nunc.sed@ipsumdolor.ca,D4FE8B20-A267-9119-0D87-5CE44A2D81ED,Boris,7
arcu@gravidamaurisut.edu,FD4DCB54-99E1-1DF9-954A-94EEBF205612,Breanna,8
sagittis@Vivamuseuismodurna.com,5C070ACE-E072-12CD-9512-E1A68580CE88,Bert,9
id.magna.et@Duiselementumdui.org,56201DB0-04F8-9915-B7A7-BA469F46F696,Tashya,10
ut.ipsum@ante.ca,A271FBA2-4205-033F-3B1B-CA0CC7049D6D,Willow,11
Nulla@commodoauctor.co.uk,9543EDF6-4683-CBC2-9C23-271791D677D2,Paki,12
Duis.volutpat.nunc@turpisIncondimentum.org,2FD90198-2B33-6674-A30D-10CCF9C6C22D,Timothy,13
laoreet.libero@pretium.net,CA3B3F95-FB25-4814-91F5-F37584F727F4,Guy,14
posuere.enim@Donectemporest.edu,653FD064-AB07-B358-6395-E9E53F11FF63,Mechelle,15
semper@purusinmolestie.net,B8E346B7-84BF-8653-A2F9-96A113EF5872,Murphy,16
ante.Nunc.mauris@IntegermollisInteger.net,ED55BC88-E3FB-166E-CC5F-2A3B2C132EDF,Colby,17
dui.augue.eu@iaculislacus.org,05B36780-2214-F902-F2A2-50D383ADE6BD,Blythe,18
laoreet@ridiculus.net,B6E6D85C-9B3D-88F7-FB15-36FBA110EB1B,Shay,19
neque.In@interdum.co.uk,9A229728-708D-A3DB-30CB-C65330266E09,Jerome,20
posuere.cubilia@consectetuercursus.com,9F8BD5E8-055E-1721-4E05-A6C98D3F1FE2,Harrison,21
Donec.luctus.aliquet@quismassaMauris.co.uk,737224F6-BD13-E51D-BB1C-A0D9EEC806C6,Lewis,22
eget@neque.ca,159BFDD6-638F-958D-2BE8-0CE8557D837D,Scarlet,23
ullamcorper.Duis.at@Duisami.edu,F11D9BE4-9450-FF40-1205-65BCBA4D608F,Hop,24
Mauris@sit.com,6A59B3AA-8E75-CFC1-FA5A-9B964AE20A8F,Camille,25
tellus.non.magna@dolor.com,DAA930C8-6FF8-02BA-30A9-5959823AD7FD,Bianca,26
Nulla.tempor.augue@Aliquam.org,AC4BFFBE-E16D-1648-EDE6-553726AC8DBB,Azalia,27
sed.sapien@idnunc.com,77AE1630-EB5F-1A63-772E-11896E72B1C6,Lillian,28
in.consectetuer.ipsum@pharetrautpharetra.net,77F47979-D567-9D3E-2C83-74D6A4237213,Brenda,29
blandit.Nam.nulla@gravidamaurisut.ca,2F6371B3-1621-938C-B424-001DA9A00735,Iona,30
eget.odio@faucibusorci.co.uk,DD681D0D-77BA-F2C2-23EC-CE45F986F4CB,Eve,31
a.auctor.non@Sedauctorodio.com,0D9595FE-B6EF-8E8F-3F26-C5089C9B3DC7,Brenden,32
dolor.dapibus@imperdietnec.co.uk,13942134-AF54-5F83-DDDA-A407E271A2E0,Lacey,33
tincidunt.aliquam@bibendum.com,A5B26649-3CE2-0E3E-BBC3-EF26E718970C,Armando,34
sed.orci.lobortis@eleifendCrassed.com,917C3AF3-B9F0-F65E-D004-663D43F2CD75,Aline,35
elit.pretium@consectetuerrhoncusNullam.ca,6B608044-F8BA-43A9-0124-0336D7B1A4CB,Breanna,36
gravida.Aliquam@Mauris.edu,0E1BC684-8AF1-EA9E-6073-A7C8C36B3516,Vanna,37
massa.non@nondapibusrutrum.co.uk,9CDE8717-85D7-34FB-5AA6-767E7EB9FE49,Avye,38
sit.amet@velit.net,AC8F0ED0-C89C-00C8-13C9-FDBD63006C12,Hayes,39
congue.In@blanditmattis.co.uk,83FB65A2-A13A-FA58-3C52-2243B088626D,Reed,40
nec.ante.blandit@lectussitamet.org,531794E1-C5C8-51BB-9531-206CE7D3BDE8,Daryl,41
cursus@estcongue.org,BFCAF9D9-0FAF-EAE5-E2D4-CC02C43E5F9F,Macaulay,42
metus.In@Crasvehiculaaliquet.edu,DC181C88-ED81-E3AD-24D0-581981A4B947,John,43
Sed.eu.nibh@euismod.edu,4056FBEA-5985-F9E1-1D6E-37BC11F4D44E,Jordan,44
tellus.non.magna@maurissitamet.edu,6BCB48AE-B177-481D-36EB-62B768AC32D8,Curran,45
Nunc@aliquam.co.uk,3B542AD0-1117-C14C-4275-2FE3656BF4C2,Steel,46
pulvinar.arcu.et@quisdiam.edu,E7BC330F-A176-E20E-1566-96732C9EF75C,Helen,47
velit.in@loremlorem.org,A00BA63A-C771-DFB5-B0E1-09F73998A278,Macy,48
enim.Suspendisse.aliquet@Donecdignissim.com,B25D915A-65B8-C5B7-4099-2A2EFA475718,Zelda,49
faucibus.orci.luctus@quam.org,3CA79526-2BFA-0928-E703-31083BE3BA2D,Christian,50
dolor.Nulla@egetvariusultrices.org,7A39F4FD-DF82-98CF-72D5-D730E3A28C4A,Kenneth,51
ultricies.ornare@molestiein.ca,4F38DF50-8995-3A93-0E35-1A26079D03A1,Dana,52
massa@risusat.ca,3B3E78F6-9090-6B11-6F2E-3810651C756A,Aline,53
non.arcu.Vivamus@non.org,9266849D-A84E-E9D0-8EB3-88196F417B17,Harriet,54
penatibus@commodohendreritDonec.ca,2A567B86-A402-B48C-5BAD-D377F720DC14,Lenore,55
Phasellus.vitae.mauris@estmollis.net,E15E83CD-1F15-C0D9-D48D-F1B616FBFDD0,Abra,56
vel.quam.dignissim@imperdiet.net,30437B76-9C6E-D957-6120-8940A1341494,Aurora,57
varius@adipiscingelit.ca,71C01BFF-97EB-593B-F903-1278F5C3288A,Blake,58
erat.Vivamus@magnisdisparturient.com,BD3118B4-547F-BF17-FC16-C80D567059A0,Melyssa,59
interdum.libero.dui@rhoncusDonec.net,16BC3583-DCE7-0912-9BB7-0DA7290EBF02,Harlan,60
ipsum.dolor@risus.org,8A870B2A-98A9-F95A-1ABB-649D0B41FE49,Casey,61
Mauris.vestibulum.neque@Suspendissecommodo.ca,27ACB8A7-DCAD-0748-9D59-B8C866B3FEF0,Maris,62
eget.ipsum.Donec@Aliquamfringillacursus.org,3305275B-68A2-4854-66B4-7DF3472B7307,Dora,63
nulla.Donec@montesnasceturridiculus.co.uk,B9E6C8E5-A0BB-41F6-B56F-593184BA747F,Clark,64
dictum.Phasellus.in@Nulla.ca,C5CC6D75-64D5-16DB-E667-69C65E6AF3F5,Mohammad,65
lorem@euismodindolor.net,2E588661-F590-E725-E6B7-6BD7FF399181,Kirk,66
augue@purusmaurisa.co.uk,D8891639-6339-5835-B3B4-89426E8DE0D3,Uriel,67
In.at@eu.edu,EC94DEC8-DF03-55AC-C0BE-8BAF65658C4E,Price,68
eros.nec.tellus@semsempererat.edu,1137630C-DC02-4929-CBC9-5C7AD2104C6A,Daphne,69
a@nonummyFusce.net,04B93C1B-B866-5669-8C6D-3E72258ED126,Damon,70
amet.nulla@a.edu,3ACBC2A3-D6C6-51C7-5011-10843B505C8C,Darryl,71
